# BUSCO version is: 4.0.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length
5951at33208a	Complete	NW_015145035.1	297522	309124	4266.6	1998
9639at33208a	Complete	NW_015145087.1	2374884	2399212	2596.9	1754
13816at33208a	Complete	NW_015145031.1	371220	404390	2131.3	1548
14776at33208a	Complete	NW_015145106.1	400281	412761	2754.3	1882
16244at33208a	Complete	NW_015145625.1	53508	64131	2752.2	1729
40200at33208a	Complete	NW_015145473.1	154015	164914	752.0	765
45934at33208a	Complete	NW_015145044.1	200946	205097	888.3	899
49474at33208a	Complete	NW_015145101.1	152734	162647	1651.5	1213
50756at33208a	Complete	NW_015145950.1	123736	136100	1265.4	1048
56573at33208a	Complete	NW_015145503.1	549210	565778	1454.3	885
57158at33208a	Complete	NW_015145002.1	5863039	5873347	2017.1	1056
63697at33208a	Complete	NW_015145106.1	762254	770576	2010.9	1047
64435at33208a	Complete	NW_015145533.1	1065	5272	316.8	576
65302at33208a	Complete	NW_015145167.1	330070	339697	1615.9	975
66018at33208a	Complete	NW_015145037.1	552723	568825	1647.7	863
75406at33208a	Complete	NW_015145114.1	834873	842235	677.7	603
76852at33208a	Complete	NW_015145070.1	2195699	2210663	1044.6	887
84980at33208a	Complete	NW_015145036.1	1803333	1832369	944.8	597
88053at33208a	Complete	NW_015145099.1	714527	728495	605.1	626
92367at33208a	Complete	NW_015145148.1	492962	506116	464.2	459
99614at33208a	Complete	NW_015145139.1	279126	291901	1253.0	940
99987at33208a	Complete	NW_015145037.1	1572658	1577735	947.9	733
102804at33208a	Complete	NW_015145533.1	18733	23057	1451.3	889
103854at33208a	Complete	NW_015145060.1	336563	341198	553.6	527
107151at33208a	Complete	NW_015145006.1	1190975	1198089	1456.8	781
107574at33208a	Complete	NW_015145068.1	2018380	2030381	726.3	671
108764at33208a	Complete	NW_015145178.1	613081	624805	494.9	484
109109at33208a	Complete	NW_015145084.1	991437	995695	1139.2	567
111730at33208a	Complete	NW_015145503.1	393462	403198	504.8	329
111746at33208a	Complete	NW_015145078.1	141452	150751	717.1	622
114954at33208a	Complete	NW_015145088.1	706036	711651	718.4	446
115878at33208a	Complete	NW_015145019.1	1882142	1890726	602.4	352
118209at33208a	Complete	NW_015145009.1	86816	128356	1703.5	888
119252at33208a	Complete	NW_015145715.1	22743	26397	938.5	553
119591at33208a	Complete	NW_015145135.1	1300519	1306106	1337.7	995
121127at33208a	Complete	NW_015145503.1	640624	646241	684.0	556
123923at33208a	Complete	NW_015145068.1	2206602	2217863	529.4	587
124302at33208a	Complete	NW_015145417.1	11880	25294	913.6	818
127766at33208a	Complete	NW_015145468.1	45798	50806	892.4	651
