# BUSCO version is: 4.0.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length
5951at33208a	Complete	C2549188	862	10565	3939.3	1820
9639at33208a	Complete	scaffold12715	1	7586	2137.0	1342
13816at33208a	Complete	C2532820	1	5334	822.6	652
14776at33208a	Complete	C2543314	1	7225	2633.1	1716
16244at33208a	Complete	C2525126	1	4455	2100.2	1242
40200at33208a	Complete	scaffold57647	1	2452	411.4	525
45934at33208a	Complete	C2493088	1	2958	839.9	848
49474at33208a	Duplicated	C2468557	1	2295	634.4	536
49474at33208a	Duplicated	C2499098	671	3166	711.3	494
50756at33208a	Complete	scaffold50050	1198	8579	1094.9	839
56573at33208a	Fragmented	scaffold21447	1	6404	912.7	502
57158at33208a	Complete	C2547062	1	8015	1660.5	812
63697at33208a	Complete	C2549280	21	6237	1938.4	862
64435at33208a	Complete	scaffold52226	767	4109	255.0	392
65302at33208a	Complete	scaffold46996	1	3856	1225.6	724
66018at33208a	Complete	scaffold56260	1	4041	1227.5	624
75406at33208a	Complete	C2541940	42	6602	674.9	603
76852at33208a	Fragmented	scaffold48471	1	3583	305.3	480
84980at33208a	Complete	scaffold60466	1	8797	680.8	384
88053at33208a	Complete	scaffold53965	1492	16066	333.8	452
92367at33208a	Complete	C2472099	1	2342	431.3	394
99614at33208a	Complete	C2410636	1	1396	475.7	698
99987at33208a	Complete	C2531422	1337	4961	944.6	738
102804at33208a	Complete	C2495300	1	2365	925.9	601
103854at33208a	Complete	scaffold35769	1835	4242	412.3	370
107151at33208a	Complete	C2520638	90	4105	1413.3	760
107574at33208a	Complete	C2435283	1	1706	441.7	382
108764at33208a	Complete	C2520232	1588	3934	398.8	432
109109at33208a	Complete	scaffold63127	6351	10675	1139.0	567
111730at33208a	Complete	scaffold55633	733	1913	482.4	296
111746at33208a	Complete	scaffold24620	1	1825	495.3	394
114954at33208a	Complete	C2539444	1601	6247	718.4	446
115878at33208a	Complete	C2539586	286	5320	603.0	352
118209at33208a	Complete	scaffold63131	2680	15283	1287.9	671
119252at33208a	Complete	C2478811	400	2405	877.2	502
119591at33208a	Complete	C2545322	466	7928	1231.0	935
121127at33208a	Complete	scaffold61370	1	4093	404.5	411
123923at33208a	Complete	C2548948	4206	10486	376.3	348
124302at33208a	Complete	scaffold59801	1	5566	851.2	822
127766at33208a	Complete	scaffold28485	5622	8455	659.7	519
129179at33208a	Complete	C2547234	878	5697	618.4	439
130245at33208a	Complete	C2490644	1	2879	579.3	347
130256at33208a	Fragmented	scaffold11134	1	1833	380.8	288
131349at33208a	Fragmented	C2522290	1	3541	502.8	395
131848at33208a	Complete	scaffold55417	2360	4613	430.3	392
132087at33208a	Complete	C2518388	1	2075	359.2	441
134492at33208a	Complete	scaffold62445	1	6463	1374.8	802
135294at33208a	Missing
137383at33208a	Fragmented	scaffold30675	2053	3247	370.0	270
139188at33208a	Complete	C2472845	125	2245	682.0	512
143619at33208a	Complete	C2537938	1386	4350	421.9	336
143997at33208a	Complete	C2445827	1	1525	557.8	380
146671at33208a	Complete	C2549354	694	7355	1058.2	698
147873at33208a	Complete	scaffold10150	2166	8231	960.6	565
148067at33208a	Complete	C2457715	1	2072	385.1	461
148325at33208a	Complete	C2538092	1066	5012	407.4	298
152327at33208a	Complete	scaffold57927	818	3185	521.5	369
152977at33208a	Missing
153034at33208a	Complete	scaffold62154	4105	7552	600.1	377
157109at33208a	Missing
157138at33208a	Complete	scaffold51223	1875	4518	569.5	533
158845at33208a	Complete	scaffold59372	2596	6709	513.1	481
158962at33208a	Complete	C2530584	1	4727	607.5	417
162821at33208a	Complete	scaffold18109	1	8525	634.6	432
164767at33208a	Fragmented	scaffold49177	1	2141	560.1	381
166097at33208a	Complete	C2505780	1	3440	540.5	294
168850at33208a	Complete	C2528042	1200	3556	696.6	415
168924at33208a	Complete	C2532612	1	5308	267.3	263
169864at33208a	Missing
172677at33208a	Complete	scaffold50678	1377	5913	234.4	216
176247at33208a	Complete	C2521994	1246	4283	347.3	335
177718at33208a	Complete	C2479663	872	2561	428.2	308
177858at33208a	Complete	scaffold62045	13256	14563	538.8	334
178537at33208a	Complete	C2537358	1066	5958	834.0	399
179485at33208a	Complete	C2467789	1	2093	507.6	260
180808at33208a	Complete	C2550336	1	8703	697.1	438
182834at33208a	Complete	C2537764	2236	5175	737.5	559
184508at33208a	Complete	C2518730	717	4124	530.7	340
184717at33208a	Complete	C2523794	1	4481	843.3	462
186208at33208a	Complete	scaffold58035	301	5507	1214.1	715
186707at33208a	Complete	scaffold36274	1	3651	311.5	307
187280at33208a	Missing
189414at33208a	Complete	C2503986	2	2165	575.7	420
190726at33208a	Fragmented	C2413438	20	1285	273.2	162
191938at33208a	Missing
192250at33208a	Complete	C2538072	1	1725	437.9	283
194754at33208a	Complete	C2531240	1	5115	574.3	363
195986at33208a	Complete	C2524342	1	4523	770.3	512
196950at33208a	Fragmented	C2514332	1	1818	462.5	333
197549at33208a	Complete	scaffold63150	8370	16150	407.3	507
197652at33208a	Complete	C2522688	726	4398	510.1	274
200997at33208a	Complete	scaffold44970	1339	3735	687.9	496
201397at33208a	Missing
202545at33208a	Complete	scaffold61944	321	4040	548.5	347
203128at33208a	Complete	scaffold63117	6226	10325	877.4	434
203698at33208a	Complete	C2535032	1416	5618	768.3	481
205220at33208a	Complete	C2505394	1	2435	983.5	582
206786at33208a	Complete	C2549722	5459	11095	575.3	383
206858at33208a	Complete	C2549674	276	7071	687.0	514
207599at33208a	Fragmented	C2538686	176	6176	282.2	210
208219at33208a	Complete	C2431737	1	1656	382.9	294
210614at33208a	Complete	scaffold26479	1	3028	396.1	368
212972at33208a	Complete	scaffold36241	852	5495	787.8	642
214788at33208a	Complete	scaffold50994	1	5229	465.1	391
215654at33208a	Complete	scaffold61598	3641	6192	575.0	364
216257at33208a	Fragmented	C2512932	848	1813	276.7	196
216563at33208a	Fragmented	C2462849	1	1829	160.3	90
218441at33208a	Complete	C2536648	1	2605	225.5	167
219795at33208a	Fragmented	scaffold14827	1	2679	178.7	141
219856at33208a	Complete	scaffold38130	703	8479	718.6	394
