# BUSCO version is: 4.0.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length
5951at33208a	Complete	C2558366	1	6664	3659.6	1653
9639at33208a	Complete	scaffold56498	1	8125	2138.0	1345
13816at33208a	Complete	scaffold27319	1	7681	1003.4	845
14776at33208a	Complete	C2569034	2237	13515	2754.8	1882
16244at33208a	Complete	C2534987	1	4516	2120.0	1205
40200at33208a	Complete	scaffold66999	1959	5675	758.0	761
45934at33208a	Complete	scaffold37310	1	3355	810.7	724
49474at33208a	Complete	scaffold64512	7549	16172	1658.5	1223
50756at33208a	Complete	C2567628	2346	10713	514.9	847
56573at33208a	Complete	C2562130	1	8691	1065.8	622
57158at33208a	Complete	C2561028	726	8518	1657.2	812
63697at33208a	Complete	C2525037	85	3616	1890.7	820
64435at33208a	Complete	scaffold65670	1818	6045	316.1	538
65302at33208a	Complete	scaffold7105	1	4285	1206.3	728
66018at33208a	Complete	scaffold67345	1	14895	1647.8	863
75406at33208a	Complete	C2568870	7666	15111	678.2	603
76852at33208a	Fragmented	C2523323	607	3731	220.4	435
84980at33208a	Complete	scaffold61439	1	18739	930.5	533
88053at33208a	Complete	C2558480	1	7325	385.9	487
92367at33208a	Complete	scaffold5176	1	2489	431.2	394
99614at33208a	Complete	C2460497	111	1676	524.6	412
99987at33208a	Complete	C2549389	2547	5728	944.6	738
102804at33208a	Complete	scaffold57988	2588	6495	1452.9	889
103854at33208a	Complete	C2552893	1	3555	642.3	565
107151at33208a	Complete	scaffold34224	324	4233	1414.4	764
107574at33208a	Complete	C2562222	945	8596	725.3	648
108764at33208a	Complete	C2530297	1	3932	372.7	408
109109at33208a	Complete	scaffold67360	5927	10555	1138.2	567
111730at33208a	Complete	C2527163	740	1834	482.4	296
111746at33208a	Complete	scaffold35191	1	6844	528.1	439
114954at33208a	Complete	scaffold27951	1	4077	522.9	309
115878at33208a	Complete	C2562424	493	8685	602.9	352
118209at33208a	Complete	scaffold7719	1098	37705	1599.5	839
119252at33208a	Complete	C2569740	7886	11525	938.2	552
119591at33208a	Complete	C2568622	3976	9569	1335.0	987
121127at33208a	Complete	scaffold63714	2218	6575	562.0	484
123923at33208a	Complete	scaffold65604	1	10814	339.7	296
124302at33208a	Complete	C2561360	635	8635	910.2	799
127766at33208a	Complete	scaffold20075	5992	10365	892.4	631
129179at33208a	Complete	C2534499	1	4245	575.4	409
130245at33208a	Complete	C2569414	483	7325	686.5	437
130256at33208a	Fragmented	C2458757	1	1415	380.5	230
131349at33208a	Complete	scaffold21429	706	11549	1536.3	947
131848at33208a	Complete	scaffold12178	1410	3825	423.7	391
132087at33208a	Complete	scaffold64760	1	2910	587.7	533
134492at33208a	Complete	C2449311	119	1481	726.4	407
135294at33208a	Complete	C2568910	1706	6103	817.7	583
